Country,Admin1,SubDiv,Year,List,Cause,Sex,Frmat,IM_Frmat,Deaths1,Deaths2,Deaths3,Deaths4,Deaths5,Deaths6,Deaths7,Deaths8,Deaths9,Deaths10,Deaths11,Deaths12,Deaths13,Deaths14,Deaths15,Deaths16,Deaths17,Deaths18,Deaths19,Deaths20,Deaths21,Deaths22,Deaths23,Deaths24,Deaths25,Deaths26,IM_Deaths1,IM_Deaths2,IM_Deaths3,IM_Deaths4
2180,,,1961,07A,A090,1,08,08,891,430,259,,,,45,,11,,7,,12,,14,,22,,86,,,,,,,5,430,,,
2180,,,1961,07A,A090,2,08,08,821,364,261,,,,32,,11,,19,,8,,9,,19,,93,,,,,,,5,364,,,
2180,,,1961,07A,A091,1,08,08,670,48,51,,,,29,,52,,66,,60,,62,,79,,213,,,,,,,10,48,,,
2180,,,1961,07A,A091,2,08,08,579,56,41,,,,37,,38,,51,,54,,36,,80,,180,,,,,,,6,56,,,
2180,,,1961,07A,A092,1,08,08,236,151,69,,,,6,,2,,1,,2,,0,,2,,2,,,,,,,1,151,,,
2180,,,1961,07A,A092,2,08,08,232,140,73,,,,9,,0,,3,,0,,0,,0,,5,,,,,,,2,140,,,
2180,,,1961,07A,A093,1,08,08,2543,1723,667,,,,63,,8,,4,,2,,2,,9,,41,,,,,,,24,1723,,,
2180,,,1961,07A,A093,2,08,08,2309,1409,703,,,,101,,8,,6,,3,,2,,3,,40,,,,,,,34,1409,,,
2180,,,1961,07A,A094,1,08,08,0,0,0,,,,0,,0,,0,,0,,0,,0,,0,,,,,,,0,0,,,
2180,,,1961,07A,A094,2,08,08,0,0,0,,,,0,,0,,0,,0,,0,,0,,0,,,,,,,0,0,,,
2180,,,1961,07A,A095,1,08,08,4,0,0,,,,0,,0,,0,,2,,0,,0,,2,,,,,,,0,0,,,
2180,,,1961,07A,A095,2,08,08,3,0,1,,,,0,,0,,0,,0,,0,,1,,1,,,,,,,0,0,,,
2180,,,1961,07A,A096,1,08,08,5,0,0,,,,0,,1,,0,,1,,0,,0,,3,,,,,,,0,0,,,
2180,,,1961,07A,A096,2,08,08,3,0,0,,,,0,,1,,0,,0,,1,,0,,1,,,,,,,0,0,,,
2180,,,1961,07A,A097,1,08,08,137,10,7,,,,8,,17,,8,,13,,17,,16,,40,,,,,,,1,10,,,
2180,,,1961,07A,A097,2,08,08,110,7,9,,,,5,,5,,14,,13,,9,,13,,35,,,,,,,0,7,,,
2180,,,1961,07A,A098,1,08,08,1,0,0,,,,0,,0,,0,,0,,0,,0,,1,,,,,,,0,0,,,
